"","관리기관명","소재지도로명주소","설치목적구분","카메라대수","우편번호","행정동명"
"386","관악구청","남부순환로206길","다목적",1,"08784","청룡동"
"387","관악구청","청룡9길","다목적",1,"08831","청룡동"
"388","관악구청","청룡15길","다목적",1,"08831","청룡동"
"389","관악구청","남부순환로210길","다목적",5,"08785","청룡동"
"390","관악구청","청룡8길","다목적",4,"08784","청룡동"
"391","관악구청","청림길","다목적",4,"08732","청림동"
"392","관악구청","양녕로6길","다목적",4,"08746","중앙동"
"393","관악구청","청림3라길","다목적",3,"08731","청림동"
"394","관악구청","행운1라길","다목적",1,"08736","행운동"
"395","관악구청","행운5길","다목적",1,"08740","행운동"
"396","관악구청","행운길","다목적",1,"08740","행운동"
"397","관악구청","솔밭로5길","다목적",4,"08741","행운동"
"398","관악구청","남부순환로247다길","다목적",1,"08801","행운동"
"399","관악구청","남부순환로247길","다목적",4,"08801","행운동"
"400","관악구청","행운1나길","다목적",1,"08737","행운동"
"401","관악구청","보라매로6길","다목적",1,"08709","보라매동"
"402","관악구청","국회단지19길","다목적",3,"08713","은천동"
"403","관악구청","청림6길","다목적",1,"08734","청림동"
"404","관악구청","난곡로26길","다목적",1,"08846","삼성동"
"405","관악구청","난곡로26길","다목적",4,"08846","삼성동"
"406","관악구청","양지12길","다목적",4,"08846","삼성동"
"407","관악구청","봉천로21라길","다목적",1,"08720","보라매동"
"408","관악구청","양녕로16길","다목적",1,"08724","은천동"
"409","관악구청","구암5가길","다목적",1,"08724","성현동"
"410","관악구청","남부순환로1561-1","다목적",1,NA,NA
"411","관악구청","신림로44길","다목적",1,"08783","서원동"
"412","관악구청","남부순환로240길","다목적",3,"08792","낙성대동"
"413","관악구청","관악로14가길","다목적",5,"08789","낙성대동"
"414","관악구청","봉천로522-8","다목적",5,NA,NA
"415","관악구청","낙성대로3길","다목적",1,"08799","낙성대동"
"416","관악구청","난향길","다목적",2,"08859","난향동"
"417","관악구청","난향10길","다목적",4,"08859","난향동"
